msoa,Name,msoa11hclnm,population2015,Areakm2,PopDensityPerkm2,Employment,EmpDensityPerkm2
E02003666,Aylesbury Vale 015,Aylesbury Central,7342,1.392307719,5273.25956923544,13000,9337.01639558317
E02003667,Aylesbury Vale 016,Fairford Leys,9884,1.64031634,6025.66699405165,1250,762.0481303015
E02003668,Aylesbury Vale 017,Bedgrove & Walton,8952,2.55277557,3506.77125712968,2250,881.393580556711
E02003669,Aylesbury Vale 018,California & Southcourt,7487,1.43801612,5206.47850421558,1000,695.402496600664
E02003670,Aylesbury Vale 019,Mandeville & Elm Farm,9590,1.90635539,5030.54155650051,5000,2622.80581376802
E02003671,Aylesbury Vale 020,Walton Court & Hawkslade,6109,0.98579865,6197.00584060442,250,253.601483426661
E02003672,Aylesbury Vale 021,Stoke Mandeville & Aston Clinton,9767,35.1795615,277.632795270144,4000,113.702383697989
E02003673,Aylesbury Vale 022,"Haddenham, Dinton & Stone",8549,50.86586698,168.069483659313,4500,88.4679701177483
E02003674,Aylesbury Vale 023,"Worminghall, Long Crendon & Cuddington",5417,39.42376561,137.404428929589,3000,76.0962316405168
E02003675,Aylesbury Vale 024,Wendover,9119,24.2353289,376.268877141281,3000,123.786230109714
E02003616,Bedford 001,Riseley & Sharnbrook,5607,103.57391755,54.1352507701637,2500,24.1373509773166
E02003617,Bedford 002,"Harrold, Chellington & Turvey",8894,114.54311940,77.6476146833648,1750,15.2780892398151
E02003618,Bedford 003,"Clapham, Oakley & Thurleigh",8799,43.70800092,201.313256480107,3000,68.6373189542799
E02003619,Bedford 004,"Wyboston, Great Barford & Cople",11226,114.49303182,98.0496351725587,6000,52.4049359565645
E02003620,Bedford 005,Brickhill,8232,2.264483356,3635.26628607369,1250,552.002290804208
E02003621,Bedford 006,Putnoe,7941,2.429085996,3269.13086383301,1250,514.596849209286
E02003622,Bedford 007,Goldington,9131,2.44555622,3733.7109344621,3500,1431.16726222716
E02003623,Bedford 008,Bromham & Biddenham,9412,13.507127437,696.817294694057,1500,111.052480032953
E02003624,Bedford 009,De Parys,5879,1.7513249,3356.88721025779,2250,1284.74162618255
E02003625,Bedford 010,Harpur,8473,2.373183091,3570.31028542924,7000,2949.6249263475
E02003626,Bedford 011,Newnham,5404,3.519553763,1535.42192113329,3000,852.380785183079
E02003627,Bedford 012,Castle & Kingsway,9813,1.62181789,6050.61767338178,11000,6782.51243115835
E02003628,Bedford 013,Queens Park,8953,1.83493630,4879.18843916023,1000,544.978046376869
E02003629,Bedford 014,Kingsbrook,10128,4.225777272,2396.71883975982,8000,1893.14284333157
E02003630,Bedford 015,Cauldwell,10583,2.256426024,4690.16040803373,8000,3545.42977031362
E02003631,Bedford 016,Kempston North,5535,1.88255473,2940.15356779079,1500,796.789583907608
E02003632,Bedford 017,Kempston Central & East,6071,0.97537054,6224.30114985616,1250,1281.56423506496
E02003633,Bedford 018,Kempston West & South,9049,6.356707190,1423.53575996844,7000,1101.1990627808
E02003634,Bedford 019,"Elstow, Shortstown & Wixams",11301,36.31944263,311.155656053314,3000,82.6003865357226
E02003635,Bedford 020,Wootton & Stewartby,5945,16.330379677,364.045424390544,1500,91.8533450947639
E02003719,Cambridge 001,Kings Hedges,8881,1.570766150,5653.92881588595,1500,954.948004195278
E02003720,Cambridge 002,Arbury,8959,1.493823552,5997.36159285775,1250,836.778880829963
E02003721,Cambridge 003,East Chesterton,9062,2.613446944,3467.45129931053,8000,3061.09141353206
E02003722,Cambridge 004,West Chesterton,8363,1.5253906,5482.53022539456,3000,1966.70937922392
E02003723,Cambridge 005,Eddington & Castle,9731,3.410129843,2853.5570336021,8000,2345.95172861868
E02003724,Cambridge 006,East Barnwell & Abbey,9599,3.94586941,2432.67046975119,4500,1140.43307885346
E02003725,Cambridge 007,Central & West Cambridge,15304,6.1398090,2492.58566475443,30000,4886.14548107278
E02003726,Cambridge 008,Petersfield,8475,1.05398306,8040.92620559753,6000,5692.69111402986
E02003727,Cambridge 009,Romsey,8920,1.4880250,5994.52308806661,2000,1344.06343979436
E02003728,Cambridge 010,Coleridge,9432,1.93023072,4886.46248937225,3500,1813.25473879102
E02003729,Cambridge 011,Cherry Hinton,8515,3.68149227,2312.92078543306,3500,950.701439337804
E02003730,Cambridge 012,Trumpington,10816,7.32648528,1476.28768519447,14000,1910.87533311744
E02003731,Cambridge 013,Addenbrooke's & Queen Edith's,9048,4.51925866,2002.09828236981,17000,3761.67891217804
E02003599,Central Bedfordshire 001,Sandy North,5803,1.100276487,5274.12888260028,800,727.089971886312
E02003600,Central Bedfordshire 002,Sandy South,6554,16.54680370,396.088581049671,3000,181.303897380495
E02003601,Central Bedfordshire 003,Potton,7387,62.6860835,117.841147247967,1500,23.9287560531677
E02003602,Central Bedfordshire 004,"Blunham, Caldecote & Broom",6055,76.4772690,79.1738523388767,4500,58.8410132689231
E02003603,Central Bedfordshire 005,Biggleswade West,9937,6.10639856,1627.30943652768,3500,573.169269187041
E02003604,Central Bedfordshire 006,Biggleswade East,8667,12.730754367,680.792335651051,2500,196.374851633331
E02003605,Central Bedfordshire 007,Cranfield & Apsley Guise,8732,40.789381603,214.075321979823,8000,196.129475015419
E02003606,Central Bedfordshire 008,Houghton Conquest & Clophill,7914,42.85459452,184.670980757917,2500,58.3368021095909
E02003607,Central Bedfordshire 009,"Marston Moretaine, Lidlington & Woburn",9555,75.81839635,126.024823264144,2000,26.3788222421299
E02003608,Central Bedfordshire 010,Arlesey & Henlow,11532,23.64215474,487.772799420942,2500,105.7433227848
E02003609,Central Bedfordshire 011,Shefford & Shillington,10995,39.44943199,278.711237281531,3500,88.7211760333384
E02003610,Central Bedfordshire 012,Ampthill & Millbrook,8055,14.93113288,539.476814335568,6000,401.844926853266
E02003611,Central Bedfordshire 013,"Clifton, Meppershall & Stondon",8916,24.01067404,371.334848224495,2250,93.7083230671354
E02003612,Central Bedfordshire 014,Stotfold,11616,11.627681832,998.995342970062,1250,107.502081503463
E02003613,Central Bedfordshire 015,Flitwick East,5964,3.69717208,1613.12480912965,2000,540.953993139535
E02003614,Central Bedfordshire 016,Flitwick West,7390,10.533157992,701.593957466181,1750,166.142006160843
E02003615,Central Bedfordshire 017,"Westoning, Harlington & Silsoe",9643,39.84487406,242.013564555728,3000,75.2919935317773
E02003636,Central Bedfordshire 018,Barton-le-Clay & Upper Sundon,7482,34.05214458,219.721844035545,1750,51.3917705209039
E02003637,Central Bedfordshire 019,"Toddington, Heath & Reach",9805,65.88646071,148.816614125919,3500,53.1216878594419
E02003638,Central Bedfordshire 020,Leighton Buzzard North & East,7697,4.255831869,1808.5770859992,1250,293.71461055714
E02003639,Central Bedfordshire 021,Leighton Buzzard Central,9355,1.77669973,5265.38044933341,5000,2814.20654012257
E02003640,Central Bedfordshire 022,Linslade East,6237,4.01637691,1552.89210809314,1000,248.98061671209
E02003641,Central Bedfordshire 023,Linslade West,5668,2.095542332,2704.7890722013,450,214.74154596081
E02003643,Central Bedfordshire 024,Leighton Buzzard South East,11740,4.72636722,2483.93733726728,6000,1269.47393647504
E02003642,Central Bedfordshire 025,Houghton Regis North,9003,4.12479938,2182.65161069846,700,169.70522333622
E02003644,Central Bedfordshire 026,Houghton Regis South,9457,8.38248604,1128.18559489155,7000,835.074459605065
E02003645,Central Bedfordshire 027,Dunstable East,6836,2.222304594,3076.08597769916,6000,2699.89992199962
E02003646,Central Bedfordshire 028,Dunstable West,9559,2.42148945,3947.5703674673,1750,722.695694585826
E02003647,Central Bedfordshire 029,Dunstable Central,9251,2.014673939,4591.81003022996,6000,2978.14940862249
E02003648,Central Bedfordshire 030,Dunstable Manshead,5497,1.229272599,4471.75020720193,700,569.442449599415
E02003649,Central Bedfordshire 031,Dunstable South,6894,1.282700905,5374.59666197249,1500,1169.40745434338
E02003650,Central Bedfordshire 032,"Eaton Bray, Whipsnade & Holywell",6979,43.10146223,161.92026069813,1750,40.6018707825171
E02003651,Central Bedfordshire 033,Caddington & Slip End,6246,31.22969914,200.0019267842,2250,72.0468035863377
E02005921,Cherwell 001,"Cropredy, Wroxton & Shennington",5356,83.01097535,64.5215885937168,1750,21.0815496700461
E02005922,Cherwell 002,Banbury Hardwick,8495,2.07448472,4094.99279769583,700,337.433191602395
E02005923,Cherwell 003,Banbury Neithrop,5984,1.622216560,3688.77999817506,6000,3698.64304677052
E02005924,Cherwell 004,Banbury Grimsbury,11560,7.54301795,1532.54308466493,17000,2253.73983101817
E02005925,Cherwell 005,Banbury Ruscote,8538,1.612155052,5296.0166505416,500,310.143865740279
E02005926,Cherwell 006,Banbury Easington,8031,6.384213045,1257.94674187631,3500,548.227318751704
E02005927,Cherwell 007,Banbury Calthorpe,5362,1.822012317,2942.89997363487,2500,1372.10927537325
E02005928,Cherwell 008,"Bodicote, Adderbury & Bloxham",8050,23.21380164,346.776461827617,3000,129.233464062632
E02005929,Cherwell 009,"Sibford, Hook Norton & Milcombe",6857,87.42897457,78.4293769146203,1750,20.0162475724665
E02005930,Cherwell 010,"Deddington, Steeple Aston & Heyfords",7573,79.80185822,94.8975395869297,3000,37.5931095705756
E02005931,Cherwell 011,"Caversfield, Ambrosden & Fringford",9124,118.8185146,76.7893794112567,2500,21.0404919504018
E02005932,Cherwell 012,Bicester North,6964,1.234338601,5641.88788437594,800,648.120377465211
E02005933,Cherwell 013,Bicester East,7480,2.337362092,3200.18880515152,6000,2566.99636762998
E02005934,Cherwell 014,Bicester West,9093,2.041186189,4454.76265072827,1250,612.389015140451
E02005935,Cherwell 015,Bicester South,7622,2.96907852,2567.12645399575,8000,2694.43867722299
E02005936,Cherwell 016,"Islip, Arncott & Chesterton",10372,138.98831877,74.6249763428853,5000,35.9742462118279
E02005937,Cherwell 017,Kidlington North,6646,3.224035686,2061.39157453102,2500,775.425660099223
E02005938,Cherwell 018,Kidlington South,5603,1.919619004,2918.80836198025,600,312.562023375343
E02005939,Cherwell 019,"Begbrooke, Yarnton & Water Eaton",6844,22.722509870,301.199121006505,8000,352.073782595743
E02003676,Chiltern 001,"Hyde Heath, Bellingdon & Latimer",7973,71.56308904,111.412183390782,2500,34.9342102686852
E02003677,Chiltern 002,Chesham West,10205,3.637529669,2805.47539927841,1750,481.095732335592
E02003678,Chiltern 003,Chesham East,5639,3.79987013,1483.99808653665,1250,328.958611014424
E02003679,Chiltern 004,Chesham South,6688,6.73820490,992.549217508546,4500,667.833654034474
E02003680,Chiltern 005,Great Missenden & Prestwood,9817,19.23917624,510.260931920068,3000,155.931832141686
E02003681,Chiltern 006,Amersham-on-the-Hill & Chesham Bois,10472,6.479923091,1616.06856323039,5000,771.614096306872
E02003682,Chiltern 007,Old Amersham,7498,16.91378258,443.307105548064,6000,354.740281874902
E02003683,Chiltern 008,Little Chalfont,6977,9.108544661,765.984057761895,1750,192.127289828524
E02003685,Chiltern 010,"Chalfont St Giles, Seer Green & Jordans",8014,12.97188780,617.79751133071,2250,173.452009043741
E02003686,Chiltern 011,Chalfont Common & St Peter East,6867,9.16997639,748.856889964941,3500,381.680372025473
E02003687,Chiltern 012,Chalfont St Peter West,5772,6.933558033,832.473020748903,2250,324.508713894253
E02006823,Chiltern 013,Knotty Green & Holmer Green,8740,29.79281626,293.359309294603,3000,100.695415089973
E02005612,Corby 001,"Rowlett, Gretton & Cottingham",7223,39.431873151,183.176689892593,7000,177.521366362543
E02005613,Corby 002,Corby North,9022,2.10414072,4287.73604890465,700,332.677369601022
E02005614,Corby 003,Corby Village & Weldon,8283,26.709121437,310.118774205013,14000,524.16550027759
E02005615,Corby 004,Corby Lodge Park,8678,2.27664072,3811.75647918538,1750,768.676403187588
E02005616,Corby 005,Corby Town,5598,2.00508422,2791.9026735734,4000,1994.92867187394
E02005617,Corby 006,Corby Kingswood,10450,2.458530979,4250.50572419859,700,284.722871494881
E02006862,Corby 008,Great Oakley and Danesholme,6387,2.905487777,2198.25395572698,1750,602.308505254469
E02006863,Corby 009,Snatchill,11246,2.392108323,4701.29211679446,1000,418.041269446308
E02005619,Daventry 001,"Clipston, Naseby & Yelvertoft",6024,153.08664576,39.3502644867804,1500,9.79837263108899
E02005620,Daventry 002,Broxworth & Spratton,8248,75.46182331,109.300300972284,3500,46.3810685519997
E02005621,Daventry 003,Braunston & Crick,8200,75.43006157,108.709973576808,8000,106.058510804421
E02005622,Daventry 004,Long Buckby East & Ravensthorpe,8865,108.25962913,81.8864804076633,3500,32.3296876973146
E02005623,Daventry 005,Walgrave & Moulton,8149,57.61143188,141.447621305167,3000,52.0729983981089
E02005624,Daventry 006,Daventry North,9894,6.21020552,1593.18398960648,3500,563.588433382475
E02005625,Daventry 007,Daventry Central,9312,2.678329642,3476.79384006128,5000,1866.83518025299
E02005626,Daventry 008,Daventry South & Southbrook,6763,5.806377236,1164.75380858114,6000,1033.34656983696
E02005627,Daventry 009,Long Buckby West & Weedon,6807,72.47689419,93.9195874208457,2000,27.5950014463499
E02005628,Daventry 010,"Woodforth Halse, Byfield & Staverton",7533,108.58462339,69.3744635763893,2000,18.418814170554
E02003732,East Cambridgeshire 001,Littleport,9442,74.01006359,127.577244795664,2250,30.4012710009887
E02003733,East Cambridgeshire 002,Little Downham & Sutton,8560,103.68062671,82.5612293390199,1750,16.8787559984069
E02003734,East Cambridgeshire 003,North Ely,12392,10.467831715,1183.81727342301,2500,238.826919276663
E02003735,East Cambridgeshire 004,South Ely,8903,48.75579072,182.603950593677,8000,164.083073658743
E02003736,East Cambridgeshire 005,"Haddenham, Stretham & Witchford",10039,89.84477402,111.737161229053,2500,27.8257698043014
E02003737,East Cambridgeshire 006,Soham,13205,68.642201,192.374366397992,4500,65.5573384076073
E02003738,East Cambridgeshire 007,"Isleham, Fordham & Chippenham",6366,69.144091,92.068604445658,4000,57.8502073300812
E02003739,East Cambridgeshire 008,Burwell,6435,25.63004120,251.072557782868,1750,68.2792503665581
E02003740,East Cambridgeshire 009,Swaffham & Bottisham,6188,84.35167435,73.3595396590203,2250,26.6740407625353
E02006825,East Cambridgeshire 011,Dullingham & Cheveley,6253,76.75447093,81.4675669629682,1500,19.5428355094519
E02005629,East Northamptonshire 001,"King's Cliffe, Woodnewton & Easton",6186,147.5302039,41.9303968767593,1750,11.8619777763352
E02005630,East Northamptonshire 002,"Oundle, Warmington & Titchmarsh",10082,137.93999126,73.0897537990983,4000,28.9981169598633
E02005631,East Northamptonshire 003,Thrapston & Brigstock,10148,110.27443476,92.0249559402149,5000,45.3414248813149
E02005632,East Northamptonshire 004,"Ringstead, Woodford & Stanwick",6229,48.06055598,129.607322961836,1500,31.2106252084186
E02005633,East Northamptonshire 005,Raunds,8571,18.083027433,473.980368157172,2000,110.600949282982
E02005634,East Northamptonshire 006,Irthlingborough,8989,11.78628182,762.666304302006,2250,190.899898234403
E02005635,East Northamptonshire 007,Higham Ferrers,9044,20.646463671,438.041116587268,2000,96.8688891167933
E02005636,East Northamptonshire 008,Rushden West & North,11935,6.090838238,1959.50040607195,5000,820.905071621441
E02005637,East Northamptonshire 009,Rushden East,8932,3.55024925,2515.87969505353,3000,845.011093235214
E02005638,East Northamptonshire 010,Rushden South,9958,5.826205489,1709.1741817862,900,154.474469137626
E02003742,Fenland 001,"Leverington, Gorefield & Tydd St Giles",6500,51.03260390,127.369554024923,700,13.716721203795
E02003743,Fenland 002,Wisbech North,10697,2.5855264,4137.2620292667,2250,870.228979290252
E02003744,Fenland 003,Wisbech South & Peckover,13469,16.099762591,836.596187286551,10000,621.127171501904
E02003745,Fenland 004,"Wisbech St Mary, Waldersea & Christchurch",10048,147.30249037,68.2133749068344,2500,16.9718787083667
E02003746,Fenland 005,March North,7785,29.398151688,264.812566538052,4500,153.070847710363
E02003747,Fenland 006,Whittlesey,11378,10.790888917,1054.40803697827,3000,278.012314191632
E02003748,Fenland 007,March East,7800,15.270519235,510.788132344121,1000,65.4856579930826
E02003749,Fenland 008,"Coates, Benwick & Pondersbridge",6161,92.62671958,66.5142847291582,2000,21.5920417895469
E02003750,Fenland 009,March West,7156,33.20948600,215.480600906381,2000,60.2237565495594
E02003751,Fenland 010,"Doddington, Wimblington & Manea",6755,86.95408562,77.6846763638455,1500,17.2504832786717
E02003752,Fenland 011,Chatteris,11065,61.17959911,180.860943212969,3000,49.0359538741999
E02003753,Huntingdonshire 001,Yaxley & Farcet,11177,31.751006648,352.02033510475,2500,78.7376610674319
E02003754,Huntingdonshire 002,"Stilton, Elton & Folksworth",5692,81.88970669,69.5081253813373,2250,27.4759806933679
