msoa,Name,msoa11hclnm,population2015,Areakm2,PopDensityPerkm2,Employment,EmpDensityPerkm2
E02003243,Peterborough 007,Paston,10347,3.61654869,2861.01498621192,1250,345.633394472563
E02003244,Peterborough 008,Dogsthorpe,9097,1.983030162,4587.42392002057,500,252.139382234974
E02003245,Peterborough 009,North Bretton & Westwood,7841,2.079824979,3770.02876623749,4500,2163.64359762793
E02003246,Peterborough 010,Millfield & Bourges Boulevard,9723,2.42057592,4016.81265718964,5000,2065.62411808178
E02003247,Peterborough 011,Bretton Park,8180,2.040515603,4008.79071393718,2500,1225.18053590203
E02003248,Peterborough 012,Central Park,10784,1.888254794,5711.09367033838,5000,2647.94773241815
E02003249,Peterborough 013,Fengate & Parnwell,11447,8.722527550,1312.34896472031,14000,1605.03935582296
E02003250,Peterborough 014,Peterborough Central,11233,2.175645802,5163.06468086449,22000,10111.9400868359
E02003251,Peterborough 015,Longthorpe & Netherton,7295,5.693813456,1281.21513931357,9000,1580.66295454693
E02003252,Peterborough 016,West Town & Woodston,11320,2.47446733,4574.72195177455,3500,1414.44583145901
E02003253,Peterborough 017,Fletton,9306,2.710013478,3433.93126054588,2500,922.504637078414
E02003254,Peterborough 018,Orton West & Castor,8536,40.2037856,212.318314436613,13000,323.352634732984
E02003255,Peterborough 019,Stanground,10370,10.138375243,1022.84633897022,1750,172.61148439029
E02003257,Peterborough 021,Orton Malborne & Goldhay,8849,2.50876086,3527.23933435619,2500,996.507893542312
E02006877,Peterborough 022,Hargate & Orton Longueville,8597,7.079604319,1214.33340229075,10000,1412.50831959102
E02006878,Peterborough 023,Hampton Vale,10327,11.292064452,914.536048217747,2250,199.254973221614
E02003688,South Bucks 001,Beaconsfield Town,12649,19.65482681,643.556929990645,8000,407.024700717778
E02003689,South Bucks 002,Gerrards Cross,8848,13.61121875,650.052002356054,4500,330.609630383025
E02003690,South Bucks 003,Denham,6761,13.293099162,508.609761939208,5000,376.135011035886
E02003691,South Bucks 004,Farnham & Hedgerley,6881,16.40762360,419.378221278063,3500,213.315473667984
E02003692,South Bucks 005,Stoke Poges & George Green,8782,24.07144173,364.83066115688,4500,186.94351798595
E02003693,South Bucks 006,"Burham North, Taplow & Dorney",6537,34.37214901,190.183046106637,3500,101.826627103872
E02003694,South Bucks 007,Burnham South,8165,2.1254514,3841.53695693614,2500,1176.22073127619
E02003695,South Bucks 008,Iver & Richings Park,10684,17.739248959,602.280289594088,6000,338.233034209484
E02003775,South Cambridgeshire 001,Willingham & Over,7000,33.89948924,206.492786656579,1500,44.2484542873307
E02003776,South Cambridgeshire 002,Cottenham,6726,34.8092550,193.224474154294,2000,57.4559840479206
E02003777,South Cambridgeshire 003,"Longstanton, Swavesey & Oakington",7466,36.212643105,206.171087215568,3500,96.6513267162414
E02003778,South Cambridgeshire 004,Waterbeach and Landbeach,5617,32.60025358,172.299273280369,3500,107.361128078685
E02003779,South Cambridgeshire 005,Bar Hill & Boxworth,5088,24.798295320,205.175393480571,3500,141.138733724863
E02003780,South Cambridgeshire 006,"HIston, Impington & Orchard Park",11807,14.48147997,815.317220723287,4000,276.214862589076
E02003781,South Cambridgeshire 007,"Milton, Fen Ditton & Quy",6310,28.301113446,222.959425678,13000,459.345884917379
E02003783,South Cambridgeshire 009,Girton & Barton,7365,31.748368542,231.980424135796,2000,62.9953629697285
E02003784,South Cambridgeshire 010,Hardwick & Highfields,8744,48.96569538,178.573998218344,2000,40.8449218269838
E02003785,South Cambridgeshire 011,Fulbourn & Teversham,9046,46.03109203,196.519343814303,5000,108.622232919031
E02003786,South Cambridgeshire 012,Great Shelford & Stapleford,6298,15.79957439,398.61833273271,2000,126.585688362964
E02003787,South Cambridgeshire 013,"Barrington, Orwell & Gamlingay",7302,81.10442821,90.0320754526888,1750,21.5771202463669
E02003788,South Cambridgeshire 014,"Little Shelford , Foxton & Haslingfield",6644,37.566113253,176.861522916616,2250,59.8944049613734
E02003789,South Cambridgeshire 015,Sawston,7280,7.71418421,943.716121355153,3500,453.709673598785
E02003790,South Cambridgeshire 016,Linton & Balsham,9582,121.66640041,78.7563367354536,2500,20.5479901729263
E02003791,South Cambridgeshire 017,"Duxford, Whittlesford & the Abingtons",7967,75.83968304,105.050544524911,11000,145.042800273813
E02003792,South Cambridgeshire 018,"Meldreth, Melbourn & Great Chishill",9540,64.11185951,148.802422401286,4000,62.3909527905066
E02003793,South Cambridgeshire 019,Bassingbourn & the Mordens,6929,75.49568260,91.7800827999204,2250,29.803028762866
E02006873,South Cambridgeshire 020,Cambourne,8594,6.41030329,1340.65419608923,2500,389.997147857258
E02006874,South Cambridgeshire 021,"Papworth, Caxton & Fen Drayton",9183,84.07166202,109.228243848498,6000,71.36768627903
E02005681,South Northamptonshire 001,"Harpole, Kislingbury & Bugbrooke",8412,42.71787829,196.919892494791,2250,52.6711552649072
E02005682,South Northamptonshire 002,"Cogenhoe, Hackleton & Denton",6451,83.53256243,77.2273687325967,1750,20.9499140106769
E02005683,South Northamptonshire 003,"Blisworth, Roade & Yardley Gobion",13983,57.33147317,243.897448078913,6000,104.654558277418
E02005684,South Northamptonshire 004,Towcester West & Blakesley,8595,89.5768161,95.9511665039854,3500,39.0726099942282
E02005685,South Northamptonshire 005,Towcester East & Paulerspury,8303,28.570996344,290.60939632718,3500,122.501853203135
E02005686,South Northamptonshire 006,Middleton Cheney & Chipping Warden,7833,86.59153187,90.4591919207903,2500,28.8711834288052
E02005687,South Northamptonshire 007,Silverstone & Syresham & Helmdon,6352,95.81577038,66.2938885219846,2500,26.0917382398027
E02005688,South Northamptonshire 008,"Deanshanger, Potterspury & Old Stratford",9101,52.76226754,172.490691267063,3000,56.8588148287154
E02005689,South Northamptonshire 009,Brackley North,7699,4.722930,1630.13205396884,1500,317.599456269731
E02005690,South Northamptonshire 010,Brackley South,5690,2.15374382,2641.91124322481,6000,2785.84664725817
E02005691,South Northamptonshire 011,"Kings Sutton, Greatworth & Evenley",6687,90.24244953,74.1003821947111,1750,19.3922041025519
E02005958,South Oxfordshire 001,Thame North,5604,3.10461265,1805.05609758014,5000,1610.50686951237
E02005959,South Oxfordshire 002,Beckley & Horspath,5500,58.4476589,94.1012882283824,1500,25.6639877153403
E02005960,South Oxfordshire 003,Thame South,6223,9.572757234,650.073938795229,4500,470.083998789517
